id_code,city,latitude,longitude,utc_offset,level
EWR,Newark,40.6925,-74.168667,-4,1
JFK,New York City,40.6413,-73.7781,-4,1
LGA,LaGuardia,40.777243,-73.872609,-4,2
BOS,Boston,42.364347,-71.005181,-4,1
DEN,Denver,39.8560963,-104.6737371,-6,1
DFW,Dallas,32.899809,-97.040335,-5,2
MCI,Kansas City,39.297606,-94.713905,-5,2
ORD,Chicago,41.978611,-87.904722,-5,2
ATL,Atlanta,33.636719,-84.427863,-4,2
MIA,Miami,25.79325,-80.290556,-4,2
LAX,Los Angeles,33.942791,-118.410042,-7,2
SFO,San Francisco,37.618972,-122.374889,-7,1
DTW,Detroit,42.212444,-83.353389,-4,2
SWF,Newburgh,41.504094,-74.104839,-4,3
YVR,Vancouver,49.194722,-123.183889,-7,1
YYZ,Toronto,43.677223,-79.630556,-4,2
AMS,Amsterdam,52.308056,4.764167,1,2
BRU,Brussels,50.901389,4.484444,1,2
BCN,Barcelona,41.297078,2.078464,2,2
DUB,Dublin,53.421333,-6.270075,0,2
MUC,Munich,48.353783,11.775028,2,1
LHR,London,51.469603,-0.453566,1,1
ICN,Seoul,37.469075,126.450517,9,2
HND,Tokyo,35.553333,139.781111,9,1
HKG,Hong Kong,22.308046,113.918480,8,1
